id,name,latitude,longitude,distance_km,duration_min,type,address
213,"Howard Springs Tavern, Whitewood Road, Howard Springs, Litchfield Municipality, Northern Territory, 0839, Australia",-12.4967032,131.043459,29.42,31.45,restaurant,Whitewood Road
214,"KFC Palmerston, Temple Terrace, Palmerston City, Palmerston, City of Palmerston, Northern Territory, 0830, Australia",-12.4807328,130.9874155,22.45,21.9,restaurant,Temple Terrace
215,"Nando's, Trower Road, Casuarina, Darwin, City of Darwin, Northern Territory, 0810, Australia",-12.3756524,130.8819609,13.46,15.82,restaurant,Trower Road
216,"Casuarina Club, 247, Trower Road, Casuarina, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.3726455,130.8828668,13.87,16.64,restaurant,Trower Road
217,"Indian Curry Paradise, 56, Bradshaw Terrace, Casuarina, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.3716305,130.8824083,14.02,17.13,restaurant,Bradshaw Terrace
218,"Di Lusso, Lee Point Road, Lee Point, City of Darwin, Northern Territory, 0811, Australia",-12.3407987,130.8931697,18.44,21.17,restaurant,Lee Point Road
219,"Medee Eatery, Hinkler Crescent, Fannie Bay, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.4234262,130.8366545,5.82,8.64,restaurant,Hinkler Crescent
220,"The Track, Dick Ward Drive, Bagot, Fannie Bay, Darwin, City of Darwin, Northern Territory, 0810, Australia",-12.423007,130.8434738,6.19,9.57,restaurant,Dick Ward Drive
221,"Happy Garden, Vimy Lane, Parap, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.4317256,130.8440271,4.48,6.54,restaurant,Vimy Lane
222,"Oka, Vimy Lane, Parap, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.4317597,130.8437052,4.63,6.9,restaurant,Vimy Lane
223,"Pee Wee's at the Point, East Point Road, East Point, Darwin, City of Darwin, Northern Territory, 0820, Australia",-12.4125223,130.8235408,7.51,11.61,restaurant,East Point Road
224,"Jilvie's Bistro, Kalymnos Drive, Karama, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.4013842,130.9156072,14.55,16.73,restaurant,Kalymnos Drive
225,"Yanyula Drive, Anula, Darwin, City of Darwin, Northern Territory, 0811, Australia",-12.3919899,130.8907792,13.13,15.76,restaurant,Yanyula Drive
226,"Eat at Martin's, 6, Caryota Court, Coconut Grove, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.3998953,130.8517538,9.29,12.25,restaurant,Caryota Court
